Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,ReleaseDate,Sample Name,SRA Study,Host,isolation_source
SRR7048659,AMPLICON,502,289152,PRJNA451186,SAMN08963553,Metagenome or environmental,266257,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3980481,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,MP78_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,MP78,2018-04-20T00:00:00Z,MP78,SRP141397,Homo sapiens,
SRR7048660,AMPLICON,502,2224864,PRJNA451186,SAMN08963550,Metagenome or environmental,1458584,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3980480,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,MP75_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,MP75,2018-04-20T00:00:00Z,MP75,SRP141397,Homo sapiens,
SRR7048661,AMPLICON,502,769064,PRJNA451186,SAMN08963551,Metagenome or environmental,590978,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3980479,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,MP76_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,MP76,2018-04-20T00:00:00Z,MP76,SRP141397,Homo sapiens,
SRR7048662,AMPLICON,502,2156592,PRJNA451186,SAMN08963556,Metagenome or environmental,1455670,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3980478,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,POS.control1_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,POS.control1,2018-04-20T00:00:00Z,POS.control1,SRP141397,,laboratory sample
SRR7048663,AMPLICON,502,720370,PRJNA451186,SAMN08963557,Metagenome or environmental,526605,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3980477,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,POS.control2_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,POS.control2,2018-04-20T00:00:00Z,POS.control2,SRP141397,,laboratory sample
SRR7048664,AMPLICON,502,486940,PRJNA451186,SAMN08963554,Metagenome or environmental,386131,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980476,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,MP79_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,MP79,2018-04-20T00:00:00Z,MP79,SRP141397,Homo sapiens,
SRR7048665,AMPLICON,502,669166,PRJNA451186,SAMN08963555,Metagenome or environmental,498756,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3980475,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,MP80_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,MP80,2018-04-20T00:00:00Z,MP80,SRP141397,Homo sapiens,
SRR7048666,AMPLICON,502,24735046,PRJNA451186,SAMN08963675,Metagenome or environmental,14346465,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3980474,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS18_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS18,2018-04-20T00:00:00Z,VS18,SRP141397,Homo sapiens,
SRR7048667,AMPLICON,502,33379486,PRJNA451186,SAMN08963674,Metagenome or environmental,18966051,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3980473,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS17_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS17,2018-04-20T00:00:00Z,VS17,SRP141397,Homo sapiens,
SRR7048668,AMPLICON,502,48505750,PRJNA451186,SAMN08963677,Metagenome or environmental,29233092,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3980472,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS20_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS20,2018-04-20T00:00:00Z,VS20,SRP141397,Homo sapiens,
