Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Low Quality (1 Yes 0 No)
SRR9963161,AMPLICON,600,73663814,PRJNA559967,SAMN12565100,Metagenome or environmental,50980283,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6711010,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P20p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,1
SRR9963162,AMPLICON,602,22818208,PRJNA559967,SAMN12565100,Metagenome or environmental,12904502,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6711009,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P15b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963163,AMPLICON,602,32017972,PRJNA559967,SAMN12565100,Metagenome or environmental,17960671,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6711008,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P15g,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963164,AMPLICON,602,22523228,PRJNA559967,SAMN12565100,Metagenome or environmental,12616581,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6711007,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S10s,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963165,AMPLICON,602,30573172,PRJNA559967,SAMN12565100,Metagenome or environmental,16950199,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6711006,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S10y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963166,AMPLICON,602,18297188,PRJNA559967,SAMN12565100,Metagenome or environmental,10383956,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6711005,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S10m,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963167,AMPLICON,602,26453686,PRJNA559967,SAMN12565100,Metagenome or environmental,15124041,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6711004,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S10p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963168,AMPLICON,602,36481200,PRJNA559967,SAMN12565100,Metagenome or environmental,20910515,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6711003,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S10g,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963169,AMPLICON,602,22363096,PRJNA559967,SAMN12565100,Metagenome or environmental,12394358,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6711002,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S10k,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963170,AMPLICON,602,30216788,PRJNA559967,SAMN12565100,Metagenome or environmental,16837413,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6711001,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P14y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963171,AMPLICON,602,25493496,PRJNA559967,SAMN12565100,Metagenome or environmental,14334611,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6711000,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S10b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963172,AMPLICON,602,30653840,PRJNA559967,SAMN12565100,Metagenome or environmental,17489131,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6710999,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P28m,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963173,AMPLICON,602,24461066,PRJNA559967,SAMN12565100,Metagenome or environmental,14072233,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6710998,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P28p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963174,AMPLICON,602,32706660,PRJNA559967,SAMN12565100,Metagenome or environmental,18779841,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6710997,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P28g,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963175,AMPLICON,602,33000436,PRJNA559967,SAMN12565100,Metagenome or environmental,19142968,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710996,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P28k,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963176,AMPLICON,602,65711310,PRJNA559967,SAMN12565100,Metagenome or environmental,44087397,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6710995,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P27y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,1
SRR9963177,AMPLICON,602,35232652,PRJNA559967,SAMN12565100,Metagenome or environmental,19864494,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6710994,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P28b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963178,AMPLICON,602,28679280,PRJNA559967,SAMN12565100,Metagenome or environmental,21364923,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6710993,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P27p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,1
SRR9963179,AMPLICON,602,49900984,PRJNA559967,SAMN12565100,Metagenome or environmental,35370006,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6710992,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P27s,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,1
SRR9963180,AMPLICON,602,23262484,PRJNA559967,SAMN12565100,Metagenome or environmental,13358086,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710991,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P28s,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963181,AMPLICON,602,26504254,PRJNA559967,SAMN12565100,Metagenome or environmental,15714092,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6710990,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P28y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963182,AMPLICON,602,27849122,PRJNA559967,SAMN12565100,Metagenome or environmental,15403624,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710989,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P5y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963183,AMPLICON,602,24294312,PRJNA559967,SAMN12565100,Metagenome or environmental,13439490,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6710988,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S3b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963184,AMPLICON,602,21014014,PRJNA559967,SAMN12565100,Metagenome or environmental,11213514,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6710987,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P5p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963185,AMPLICON,602,23780204,PRJNA559967,SAMN12565100,Metagenome or environmental,13485112,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6710986,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P5s,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963186,AMPLICON,602,19339852,PRJNA559967,SAMN12565100,Metagenome or environmental,10412069,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX6710985,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P5k,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963187,AMPLICON,602,23103556,PRJNA559967,SAMN12565100,Metagenome or environmental,12286760,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX6710984,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P5m,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963188,AMPLICON,602,32789134,PRJNA559967,SAMN12565100,Metagenome or environmental,17612136,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6710983,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P5b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963189,AMPLICON,602,24118528,PRJNA559967,SAMN12565100,Metagenome or environmental,13023580,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6710982,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P5g,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963190,AMPLICON,602,37809814,PRJNA559967,SAMN12565100,Metagenome or environmental,20485177,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710981,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P4s,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963191,AMPLICON,602,23797060,PRJNA559967,SAMN12565100,Metagenome or environmental,12729752,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6710980,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P4y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963192,AMPLICON,602,31328080,PRJNA559967,SAMN12565100,Metagenome or environmental,17259858,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6710979,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P40p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963193,AMPLICON,602,19671554,PRJNA559967,SAMN12565100,Metagenome or environmental,10752605,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6710978,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P40m,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
