Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,Sample Name,Source_material_ID,SRA Study
SRR10298908,AMPLICON,502,100680116,PRJNA577959,SAMN13042816,Metagenome or environmental,62129933,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7011949,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,Blk4_PS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BLK4-biological replicate 1,Blk4_PS,not applicable,SRP226041
SRR10298909,AMPLICON,502,18567474,PRJNA577959,SAMN13042815,Metagenome or environmental,11838784,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7011948,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,Blk3_PS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BLK3-biological replicate 1,Blk3_PS,not applicable,SRP226041
SRR10298910,AMPLICON,502,111585062,PRJNA577959,SAMN13042814,Metagenome or environmental,69919926,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7011947,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,Blk2_PS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BLKS2-biological replicate 1,Blk2_PS,not applicable,SRP226041
SRR10298911,AMPLICON,502,67046618,PRJNA577959,SAMN13042813,Metagenome or environmental,43284495,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7011946,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,Blk1_PS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BLK1-biological replicate 1,Blk1_PS,not applicable,SRP226041
SRR10298912,AMPLICON,502,63308726,PRJNA577959,SAMN13042812,Metagenome or environmental,37315374,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7011945,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,vagina-rectal swabs,missing,54VRS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,54VRS-biological replicate 1,54VRS,vagina-rectal swabs,SRP226041
SRR10298913,AMPLICON,502,66212796,PRJNA577959,SAMN13042811,Metagenome or environmental,43195064,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7011944,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,54Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,54PLAC-biological replicate 2,54Plac2,placental sample,SRP226041
SRR10298914,AMPLICON,502,81259242,PRJNA577959,SAMN13042810,Metagenome or environmental,53153150,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7011943,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,54Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,54PLAC-biological replicate 1,54Plac1,placental sample,SRP226041
SRR10298915,AMPLICON,502,35545114,PRJNA577959,SAMN13042738,Metagenome or environmental,23378479,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7011942,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,24Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,24PLAC-biological replicate 2,24Plac2,placental sample,SRP226041
SRR10298916,AMPLICON,502,106289464,PRJNA577959,SAMN13042809,Metagenome or environmental,68152437,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7011941,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,54Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,54MAT-biological replicate 1,54Mat-Bld,maternal blood,SRP226041
SRR10298917,AMPLICON,502,145554900,PRJNA577959,SAMN13042808,Metagenome or environmental,92413515,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7011940,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,54Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,54CRD-biological replicate 1,54Crd-Bld,cord blood,SRP226041
SRR10298918,AMPLICON,502,64982896,PRJNA577959,SAMN13042807,Metagenome or environmental,40353853,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7011939,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,vagina-rectal swabs,missing,53VRS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-19T00:00:00Z,53VRS-biological replicate 1,53VRS,vagina-rectal swabs,SRP226041
SRR10298919,AMPLICON,502,23521712,PRJNA577959,SAMN13042806,Metagenome or environmental,14861190,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7011938,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,53Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,53PLAC-biological replicate 2,53Plac2,placental sample,SRP226041
SRR10298920,AMPLICON,502,63626994,PRJNA577959,SAMN13042805,Metagenome or environmental,40833958,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7011937,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,53Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,53PLAC-biological replicate 1,53Plac1,placental sample,SRP226041
SRR10298921,AMPLICON,502,97529062,PRJNA577959,SAMN13042804,Metagenome or environmental,61448729,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7011936,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,53Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,53MAT-biological replicate 1,53Mat-Bld,maternal blood,SRP226041
SRR10298922,AMPLICON,502,95716842,PRJNA577959,SAMN13042803,Metagenome or environmental,61013702,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7011935,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,53Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,53CRD-biological replicate 1,53Crd-Bld,cord blood,SRP226041
SRR10298923,AMPLICON,502,84638204,PRJNA577959,SAMN13042802,Metagenome or environmental,53085572,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7011934,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,vagina-rectal swabs,missing,52VRS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,52VRS-biological replicate 1,52VRS,vagina-rectal swabs,SRP226041
SRR10298924,AMPLICON,502,51821460,PRJNA577959,SAMN13042801,Metagenome or environmental,33171176,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7011933,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,52Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,52PLAC-biological replicate 2,52Plac2,placental sample,SRP226041
SRR10298925,AMPLICON,502,63171680,PRJNA577959,SAMN13042800,Metagenome or environmental,39900060,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7011932,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,52Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,52PLAC-biological replicate 1,52Plac1,placental sample,SRP226041
SRR10298926,AMPLICON,502,97456272,PRJNA577959,SAMN13042737,Metagenome or environmental,64499527,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7011931,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,24Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,24PLAC-biological replicate 1,24Plac1,placental sample,SRP226041
