Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Identifier
SRR5962348,AMPLICON,501,32496828,PRJNA397876,SAMN07527031,Metagenome or environmental,18100609,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120479,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,22AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,21AC,SRP116027,
SRR5962349,AMPLICON,501,35191503,PRJNA397876,SAMN07527032,Metagenome or environmental,20237724,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120478,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,22V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,21V,SRP116027,
SRR5962350,AMPLICON,501,23002406,PRJNA397876,SAMN07527033,Metagenome or environmental,12358928,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120477,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,23AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,22AC,SRP116027,
SRR5962351,AMPLICON,501,17750260,PRJNA397876,SAMN07527034,Metagenome or environmental,9196330,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120476,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,23V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,22V,SRP116027,
SRR5962352,AMPLICON,499,34738992,PRJNA397876,SAMN07527036,Metagenome or environmental,18668605,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120474,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,24V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,24V,SRP116027,
SRR5962353,AMPLICON,501,862644,PRJNA397876,SAMN07527037,Metagenome or environmental,655399,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120473,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,25AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,25AC,SRP116027,
SRR5962354,AMPLICON,501,17879152,PRJNA397876,SAMN07527038,Metagenome or environmental,11361683,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120472,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,25V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,25V,SRP116027,
SRR5962355,AMPLICON,501,22796280,PRJNA397876,SAMN07527035,Metagenome or environmental,12397531,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120475,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,24AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,24AC,SRP116027,
SRR5962356,AMPLICON,501,21131901,PRJNA397876,SAMN07527039,Metagenome or environmental,12629267,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120471,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,26AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,26AC,SRP116027,
SRR5962357,AMPLICON,501,25191829,PRJNA397876,SAMN07527040,Metagenome or environmental,14038956,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120470,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,26V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,26V,SRP116027,
