sample_accession	secondary_sample_accession	run_accession
SAMEA4717536	ERS2537683	ERR2622814
SAMEA4717537	ERS2537684	ERR2622815
SAMEA4717538	ERS2537685	ERR2622816
SAMEA4717539	ERS2537686	ERR2622817
SAMEA4717540	ERS2537687	ERR2622818
SAMEA4717541	ERS2537688	ERR2622819
SAMEA4717542	ERS2537689	ERR2622820
SAMEA4717543	ERS2537690	ERR2622821
SAMEA4717544	ERS2537691	ERR2622822
SAMEA4717545	ERS2537692	ERR2622823
SAMEA4717546	ERS2537693	ERR2622824
SAMEA4717547	ERS2537694	ERR2622825
SAMEA4717548	ERS2537695	ERR2622826
SAMEA4717549	ERS2537696	ERR2622827
SAMEA4717550	ERS2537697	ERR2622828
SAMEA4717551	ERS2537698	ERR2622829
SAMEA4717552	ERS2537699	ERR2622830
SAMEA4717553	ERS2537700	ERR2622831
SAMEA4717554	ERS2537701	ERR2622832
SAMEA4717555	ERS2537702	ERR2622833
SAMEA4717516	ERS2537663	ERR2622834
SAMEA4717517	ERS2537664	ERR2622835
SAMEA4717518	ERS2537665	ERR2622836
SAMEA4717519	ERS2537666	ERR2622837
SAMEA4717520	ERS2537667	ERR2622838
SAMEA4717521	ERS2537668	ERR2622839
SAMEA4717522	ERS2537669	ERR2622840
SAMEA4717523	ERS2537670	ERR2622841
SAMEA4717524	ERS2537671	ERR2622842
SAMEA4717525	ERS2537672	ERR2622843
SAMEA4717526	ERS2537673	ERR2622844
SAMEA4717527	ERS2537674	ERR2622845
SAMEA4717528	ERS2537675	ERR2622846
SAMEA4717529	ERS2537676	ERR2622847
SAMEA4717530	ERS2537677	ERR2622848
SAMEA4717531	ERS2537678	ERR2622849
SAMEA4717532	ERS2537679	ERR2622850
SAMEA4717533	ERS2537680	ERR2622851
SAMEA4717534	ERS2537681	ERR2622852
SAMEA4717535	ERS2537682	ERR2622853
SAMEA4717418	ERS2537565	ERR2622854
SAMEA4717496	ERS2537643	ERR2622855
SAMEA4717497	ERS2537644	ERR2622856
SAMEA4717498	ERS2537645	ERR2622857
SAMEA4717499	ERS2537646	ERR2622858
SAMEA4717500	ERS2537647	ERR2622859
SAMEA4717501	ERS2537648	ERR2622860
SAMEA4717502	ERS2537649	ERR2622861
SAMEA4717503	ERS2537650	ERR2622862
SAMEA4717504	ERS2537651	ERR2622863
SAMEA4717505	ERS2537652	ERR2622864
SAMEA4717506	ERS2537653	ERR2622865
SAMEA4717507	ERS2537654	ERR2622866
SAMEA4717508	ERS2537655	ERR2622867
SAMEA4717509	ERS2537656	ERR2622868
SAMEA4717510	ERS2537657	ERR2622869
SAMEA4717511	ERS2537658	ERR2622870
SAMEA4717513	ERS2537660	ERR2622871
SAMEA4717514	ERS2537661	ERR2622872
SAMEA4717515	ERS2537662	ERR2622873
SAMEA4717420	ERS2537567	ERR2622874
SAMEA4717512	ERS2537659	ERR2622875
SAMEA4717430	ERS2537577	ERR2622876
SAMEA4717431	ERS2537578	ERR2622877
SAMEA4717432	ERS2537579	ERR2622878
SAMEA4717433	ERS2537580	ERR2622879
SAMEA4717434	ERS2537581	ERR2622880
SAMEA4717436	ERS2537583	ERR2622881
SAMEA4717437	ERS2537584	ERR2622882
SAMEA4717438	ERS2537585	ERR2622883
SAMEA4717439	ERS2537586	ERR2622884
SAMEA4717440	ERS2537587	ERR2622885
